Namespace	GO ID	Enriched/Purified	GO Terms	pval_uncorr	Benjamimi/Hochberg	Bonferroni	Study Ratio	Population Ratio
CC	GO:0009579	e	thylakoid	3.63e-28	       5.42e-26	5.42e-26	       27/60	   470/19601
BP	GO:0015979	e	photosynthesis	1.80e-22	       1.34e-20	2.68e-20	       18/60	   191/19601
CC	GO:0043228	e	membraneless organelle	1.96e-21	       7.29e-20	2.92e-19	       30/60	  1156/19601
CC	GO:0043232	e	intracellular membraneless organelle	1.96e-21	       7.29e-20	2.92e-19	       30/60	  1156/19601
CC	GO:0009536	e	plastid	4.78e-18	       1.42e-16	7.12e-16	       37/60	  2641/19601
CC	GO:0005576	e	extracellular region	3.24e-16	       8.04e-15	4.83e-14	       16/60	   292/19601
BP	GO:0006091	e	generation of precursor metabolites and energy	6.76e-13	       1.44e-11	1.01e-10	       13/60	   255/19601
CC	GO:0043227	e	membrane-bounded organelle	6.58e-11	       1.09e-09	9.80e-09	       43/60	  5995/19601
CC	GO:0043231	e	intracellular membrane-bounded organelle	6.58e-11	       1.09e-09	9.80e-09	       43/60	  5995/19601
CC	GO:0043226	e	organelle	6.06e-10	       8.21e-09	9.03e-08	       43/60	  6363/19601
CC	GO:0043229	e	intracellular organelle	6.06e-10	       8.21e-09	9.03e-08	       43/60	  6363/19601
CC	GO:0110165	e	cellular anatomical structure	3.40e-08	       4.22e-07	5.06e-06	       51/60	  9928/19601
CC	GO:0016020	e	membrane	4.54e-08	       5.20e-07	6.76e-06	       32/60	  4159/19601
BP	GO:0050896	e	response to stimulus	3.01e-06	       3.21e-05	4.49e-04	       25/60	  3216/19601
BP	GO:0006950	e	response to stress	4.65e-06	       4.62e-05	6.93e-04	       20/60	  2204/19601
CC	GO:0005575	e	cellular_component	3.62e-05	       3.38e-04	5.40e-03	       53/60	 12595/19601
BP	GO:0009628	e	response to abiotic stimulus	6.33e-05	       5.55e-04	9.43e-03	       14/60	  1397/19601
BP	GO:0009607	e	response to biotic stimulus	2.36e-04	       1.95e-03	3.52e-02	        9/60	   691/19601
BP	GO:0008152	e	metabolic process	1.09e-03	       8.57e-03	1.63e-01	       41/60	  9250/19601
BP	GO:0009056	e	catabolic process	4.18e-03	       3.11e-02	6.22e-01	        9/60	  1041/19601
MF	GO:0005515	e	protein binding	4.50e-03	       3.19e-02	6.71e-01	       15/60	  2351/19601
BP	GO:0009987	e	cellular process	5.86e-03	       3.81e-02	8.73e-01	       44/60	 10836/19601
CC	GO:0005840	e	ribosome	5.89e-03	       3.81e-02	8.77e-01	        5/60	   377/19601
